LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
AAA,Luis Frías,666818,R,SI,2024,124,-0.98,95.0,-1.9,6.5,6.5,-12.6,27.2,-19.4,-11.4,11.8,16.6,-18.2,2080,-4.2,-3.1,40.6,43.3
AAA,Luis González,593574,L,FF,2024,486,2.22,92.6,-1.2,5.8,6.4,-6.0,29.4,-14.1,-6.2,18.5,19.6,-14.4,2484,4.1,1.9,56.0,62.8
AAA,Luis González,593574,L,SI,2024,37,0.62,92.3,-1.3,5.7,6.4,-10.0,29.7,-14.8,-10.1,17.9,20.8,-15.1,2493,1.7,1.1,50.1,66.2
AAA,Luis Guerrero,692285,R,FF,2023,64,-3.34,97.8,-1.6,5.8,5.9,-12.8,32.8,-16.6,-11.9,14.2,18.4,-15.0,2085,1.4,1.2,52.1,62.2
AAA,Luis Guerrero,692285,R,FF,2024,360,2.0,96.7,-1.8,5.7,5.9,-11.2,32.3,-16.0,-10.6,15.2,18.4,-14.8,2139,2.4,2.0,57.5,62.1
AAA,Luis Guerrero,692285,R,SI,2024,38,-2.68,95.8,-1.8,5.5,5.9,-18.1,32.6,-21.7,-17.4,10.0,20.2,-21.0,2045,-3.1,-4.4,46.4,40.6
AAA,Luis L. Ortiz,682847,R,FF,2023,286,-0.54,96.0,-1.4,6.4,5.5,-13.3,30.6,-18.0,-12.3,13.1,18.1,-16.6,2290,1.0,1.0,48.3,53.3
AAA,Luis L. Ortiz,682847,R,SI,2023,169,1.45,95.8,-1.5,6.5,5.4,-17.3,29.9,-25.1,-15.8,6.5,17.3,-23.0,2225,-2.9,-4.8,40.3,37.4
AAA,Luis Ledo,644396,R,FF,2022,74,4.36,96.0,-2.0,6.2,6.5,-12.4,26.4,-20.4,-11.4,10.6,15.5,-18.8,1960,-1.8,-1.6,41.8,39.1
AAA,Luis Ledo,644396,R,FF,2023,728,-0.49,94.9,-1.6,6.1,6.5,-10.9,27.5,-20.9,-10.3,10.7,15.1,-19.9,1951,-0.7,-0.6,40.1,38.6
AAA,Luis Ledo,644396,R,FF,2024,329,-1.86,95.5,-1.7,5.9,6.4,-13.4,27.7,-22.1,-12.5,9.5,15.7,-20.7,1970,-1.8,-2.1,43.9,46.1
