LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
AAA,Rico Garcia,670329,R,CU,2023,102,-0.73,82.2,-1.0,5.8,6.0,2.1,23.0,-42.6,2.8,-13.4,13.9,-55.2,2401,-1.2,-0.1,48.0,44.2
AAA,Rico Garcia,670329,R,CU,2024,137,-1.8,81.9,-1.2,5.8,5.8,2.4,23.5,-42.2,3.1,-13.1,13.7,-54.7,2406,-0.9,-0.3,47.5,42.0
AAA,Rico Garcia,670329,R,FC,2024,132,0.02,84.5,-1.3,5.9,5.8,0.9,23.4,-31.6,1.1,0.8,2.2,-37.9,2215,1.1,0.3,47.1,37.2
AAA,Riley Davis,695281,R,SL,2023,27,6.11,74.9,-2.2,6.5,5.9,9.7,19.9,-33.6,14.5,-2.3,14.9,-50.4,2345,2.2,6.1,40.4,56.8
AAA,Riley Martin,702303,L,CU,2023,54,-9.85,82.8,-1.8,5.7,5.9,5.2,23.1,-42.3,6.5,-13.2,14.9,-53.8,2535,-0.7,-0.4,45.9,46.2
AAA,Riley Martin,702303,L,CU,2024,401,0.8,82.1,-2.0,5.6,6.1,4.6,22.9,-42.8,5.9,-13.7,15.2,-55.3,2557,-1.5,-0.7,45.5,47.5
AAA,Riley Martin,702303,L,ST,2023,48,0.25,84.2,-1.9,5.7,5.8,8.2,24.1,-33.7,10.1,-1.9,10.3,-41.4,2428,2.0,4.9,46.3,49.1
AAA,Riley Martin,702303,L,ST,2024,238,-1.27,83.8,-2.2,5.6,5.9,9.8,24.0,-32.4,12.1,-0.2,12.4,-40.2,2501,2.2,7.0,47.0,61.2
AAA,Riley O'Brien,676617,R,CU,2022,280,-0.94,80.3,-1.8,6.8,6.0,11.7,23.8,-37.8,15.2,-7.3,17.1,-49.3,2442,3.6,5.2,53.9,71.8
AAA,Riley O'Brien,676617,R,CU,2023,315,1.68,81.3,-2.0,6.9,5.7,12.9,24.1,-37.0,16.4,-6.2,17.5,-46.9,2521,3.7,5.9,54.0,75.3
AAA,Riley O'Brien,676617,R,CU,2024,59,1.19,82.0,-2.1,6.9,5.7,12.5,23.9,-33.9,15.6,-2.0,15.7,-42.0,2364,2.8,7.6,52.8,69.2
AAA,Riley O'Brien,676617,R,SL,2023,172,-0.23,89.1,-2.2,7.0,5.6,3.0,24.5,-28.1,3.1,4.2,5.6,-29.4,2482,3.2,-0.4,54.4,68.6
AAA,Riley O'Brien,676617,R,SL,2024,44,2.2,89.3,-2.1,7.0,5.7,2.9,25.1,-25.9,3.0,6.4,7.2,-26.6,2404,4.8,0.0,57.1,70.2
AAA,Riley Pint,666207,R,SL,2022,22,6.86,87.2,-3.0,6.7,5.3,10.8,23.8,-28.8,11.6,3.8,12.4,-31.6,2472,-0.6,5.6,62.2,50.2
AAA,Riley Pint,666207,R,SL,2023,542,1.58,87.4,-3.0,6.7,5.4,10.5,24.7,-31.1,11.5,1.2,11.9,-34.2,2448,0.9,6.0,56.5,45.2
